rho,seed,lambda_mean,alpha_mean,r_wire_mm,t_skin_mm,A_eff_proxy,density_proxy,tortuosity,DeltaT_proxy
0.0,0,0.46276010712186927,0.6002603782687711,0.6832968192819364,2.720312453922525,122.93299046549987,0.07683311904093743,3.1041021979833467,0.00806314308974903
0.0,1,0.4579136677808631,0.4952560282903072,0.6824244602005554,2.594307233948369,122.61929588846711,0.07663705993029193,3.1041021979833467,0.008086884269485464
0.0,2,0.5030878405763644,0.4748756589917006,0.6905558113037457,2.5698507907900408,125.5588175094226,0.07847426094338912,3.1041021979833467,0.007899720453987898
0.25,0,0.46276010712186927,0.6059411376036645,0.6832968192819364,2.7271293651243975,122.93299046549987,0.07683311904093743,3.1041021979833467,0.008062965815026779
0.25,1,0.4579136677808631,0.4955500112570832,0.6824244602005554,2.5946600135085,122.61929588846711,0.07663705993029193,3.1041021979833467,0.008086875041107656
0.25,2,0.5030878405763644,0.4815414809889222,0.6905558113037457,2.5778497771867066,125.5588175094226,0.07847426094338912,3.1041021979833467,0.007899520786470075
0.5,0,0.46276010712186927,0.5975372402961161,0.6832968192819364,2.7170446883553394,122.93299046549987,0.07683311904093743,3.1041021979833467,0.008063228071210312
0.5,1,0.4579136677808631,0.49354070822805063,0.6824244602005554,2.592248849873661,122.61929588846711,0.07663705993029193,3.1041021979833467,0.008086938115275355
0.5,2,0.5030878405763644,0.4677160687467815,0.6905558113037457,2.5612592824961378,125.5588175094226,0.07847426094338912,3.1041021979833467,0.007899934923044784
0.75,0,0.46276010712186927,0.5685460514594424,0.6832968192819364,2.682255261751331,122.93299046549987,0.07683311904093743,3.1041021979833467,0.008064132915570078
0.75,1,0.4579136677808631,0.4602337092048911,0.6824244602005554,2.552280451045869,122.61929588846711,0.07663705993029193,3.1041021979833467,0.008087983800891499
0.75,2,0.5030878405763644,0.4892658248597417,0.6905558113037457,2.5871189898316898,125.5588175094226,0.07847426094338912,3.1041021979833467,0.007899289424694105
0.9,0,0.46276010712186927,0.5328953619698934,0.6832968192819364,2.639474434363872,122.93299046549987,0.07683311904093743,3.1041021979833467,0.00806524588813945
0.9,1,0.4579136677808631,0.43487827765272674,0.6824244602005554,2.521853933183272,122.61929588846711,0.07663705993029193,3.1041021979833467,0.008088780025400576
0.9,2,0.5030878405763644,0.4925453141536413,0.6905558113037457,2.5910543769843697,125.5588175094226,0.07847426094338912,3.1041021979833467,0.007899191200582996
