i,j,k
0,1,100
1,2,101
2,3,102
3,4,103
4,5,104
5,6,105
6,7,106
7,8,107
8,9,108
9,10,109
10,11,110
11,12,111
12,13,112
13,14,113
14,15,114
15,16,115
16,17,116
17,18,117
18,19,118
19,20,119
20,21,120
21,22,121
22,23,122
23,24,123
24,25,124
25,26,125
26,27,126
27,28,127
28,29,128
29,30,129
30,31,130
31,32,131
32,33,132
33,34,133
34,35,134
35,36,135
36,37,136
37,38,137
38,39,138
39,40,139
40,41,140
41,42,141
42,43,142
43,44,143
44,45,144
45,46,145
46,47,146
47,48,147
48,49,148
49,50,149
50,51,150
51,52,151
52,53,152
53,54,153
54,55,154
55,56,155
56,57,156
57,58,157
58,59,158
59,60,159
60,61,160
61,62,161
62,63,162
63,64,163
64,65,164
65,66,165
66,67,166
67,68,167
68,69,168
69,70,169
70,71,170
71,72,171
72,73,172
73,74,173
74,75,174
75,76,175
76,77,176
77,78,177
78,79,178
79,80,179
80,81,180
81,82,181
82,83,182
83,84,183
84,85,184
85,86,185
86,87,186
87,88,187
88,89,188
89,90,189
90,91,190
91,92,191
92,93,192
93,94,193
94,95,194
95,96,195
96,97,196
97,98,197
98,99,198
99,100,199
100,101,0
101,102,1
102,103,2
103,104,3
104,105,4
105,106,5
106,107,6
107,108,7
108,109,8
109,110,9
110,111,10
111,112,11
112,113,12
113,114,13
114,115,14
115,116,15
116,117,16
117,118,17
118,119,18
119,120,19
120,121,20
121,122,21
122,123,22
123,124,23
124,125,24
125,126,25
126,127,26
127,128,27
128,129,28
129,130,29
130,131,30
131,132,31
132,133,32
133,134,33
134,135,34
135,136,35
136,137,36
137,138,37
138,139,38
139,140,39
140,141,40
141,142,41
142,143,42
143,144,43
144,145,44
145,146,45
146,147,46
147,148,47
148,149,48
149,150,49
150,151,50
151,152,51
152,153,52
153,154,53
154,155,54
155,156,55
156,157,56
157,158,57
158,159,58
159,160,59
160,161,60
161,162,61
162,163,62
163,164,63
164,165,64
165,166,65
166,167,66
167,168,67
168,169,68
169,170,69
170,171,70
171,172,71
172,173,72
173,174,73
174,175,74
175,176,75
176,177,76
177,178,77
178,179,78
179,180,79
180,181,80
181,182,81
182,183,82
183,184,83
184,185,84
185,186,85
186,187,86
187,188,87
188,189,88
189,190,89
190,191,90
191,192,91
192,193,92
193,194,93
194,195,94
195,196,95
196,197,96
197,198,97
198,199,98
199,0,99
200,201,300
201,202,301
202,203,302
203,204,303
204,205,304
205,206,305
206,207,306
207,208,307
208,209,308
209,210,309
210,211,310
211,212,311
212,213,312
213,214,313
214,215,314
215,216,315
216,217,316
217,218,317
218,219,318
219,220,319
220,221,320
221,222,321
222,223,322
223,224,323
224,225,324
225,226,325
226,227,326
227,228,327
228,229,328
229,230,329
230,231,330
231,232,331
232,233,332
233,234,333
234,235,334
235,236,335
236,237,336
237,238,337
238,239,338
239,240,339
240,241,340
241,242,341
242,243,342
243,244,343
244,245,344
245,246,345
246,247,346
247,248,347
248,249,348
249,250,349
250,251,350
251,252,351
252,253,352
253,254,353
254,255,354
255,256,355
256,257,356
257,258,357
258,259,358
259,260,359
260,261,360
261,262,361
262,263,362
263,264,363
264,265,364
265,266,365
266,267,366
267,268,367
268,269,368
269,270,369
270,271,370
271,272,371
272,273,372
