ell,alpha,t_star,window
0.05,0.0,-3.2389846056208866,0.0
0.05,0.025,-3.2139846056208867,0.0
0.05,0.05,-3.188984605620887,0.0
0.05,0.07500000000000001,-3.1639846056208865,0.0
0.05,0.1,-3.1389846056208865,0.0
0.05,0.125,-3.1139846056208866,0.0
0.05,0.15000000000000002,-3.0889846056208867,0.0
0.05,0.17500000000000002,-3.063984605620887,0.0
0.05,0.2,-3.0389846056208865,0.0
0.05,0.225,-3.0139846056208865,0.0
0.05,0.25,-2.9889846056208866,0.0
0.05,0.275,-2.9639846056208867,0.0
0.05,0.30000000000000004,-2.9389846056208864,0.0
0.05,0.325,-2.9139846056208865,0.0
0.05,0.35000000000000003,-2.8889846056208865,0.0
0.05,0.375,-2.8639846056208866,0.0
0.05,0.4,-2.8389846056208867,0.0
0.05,0.42500000000000004,-2.8139846056208864,0.0
0.05,0.45,-2.7889846056208865,0.0
0.05,0.47500000000000003,-2.7639846056208865,0.0
0.05,0.5,-2.7389846056208866,0.0
0.05,0.525,-2.7139846056208867,0.0
0.05,0.55,-2.6889846056208864,0.0
0.05,0.5750000000000001,-2.6639846056208865,0.0
0.05,0.6000000000000001,-2.6389846056208865,0.0
0.05,0.625,-2.6139846056208866,0.0
0.05,0.65,-2.5889846056208867,0.0
0.05,0.675,-2.5639846056208864,0.0
0.05,0.7000000000000001,-2.5389846056208865,0.0
0.05,0.7250000000000001,-2.5139846056208865,0.0
0.05,0.75,-2.4889846056208866,0.0
0.05,0.775,-2.4639846056208867,0.0
0.05,0.8,-2.4389846056208864,0.0
0.05,0.8250000000000001,-2.4139846056208865,0.0
0.05,0.8500000000000001,-2.3889846056208865,0.0
0.05,0.875,-2.3639846056208866,0.0
0.05,0.9,-2.3389846056208867,0.0
0.05,0.925,-2.3139846056208864,0.0
0.05,0.9500000000000001,-2.2889846056208865,0.0
0.05,0.9750000000000001,-2.2639846056208865,0.0
0.05,1.0,-2.2389846056208866,0.0
0.05,1.0250000000000001,-2.2139846056208867,0.0
0.05,1.05,-2.1889846056208864,0.0
0.05,1.075,-2.163984605620887,0.0
0.05,1.1,-2.1389846056208865,0.0
0.05,1.125,-2.1139846056208866,0.0
0.05,1.1500000000000001,-2.0889846056208867,0.0
0.05,1.175,-2.0639846056208864,0.0
0.05,1.2000000000000002,-2.0389846056208865,0.0
0.05,1.225,-2.0139846056208865,0.0
0.05,1.25,-1.9889846056208866,0.0
0.05,1.2750000000000001,-1.9639846056208865,0.0
0.05,1.3,-1.9389846056208866,0.0
0.05,1.3250000000000002,-1.9139846056208865,0.0
0.05,1.35,-1.8889846056208865,0.0
0.05,1.375,-1.8639846056208866,0.0
0.05,1.4000000000000001,-1.8389846056208865,0.0
0.05,1.425,-1.8139846056208866,0.0
0.05,1.4500000000000002,-1.7889846056208865,0.0
0.05,1.475,-1.7639846056208865,0.0
0.05,1.5,-1.7389846056208866,0.0
0.05,1.5250000000000001,-1.7139846056208865,0.0
0.05,1.55,-1.6889846056208866,0.0
0.05,1.5750000000000002,-1.6639846056208865,0.0
0.05,1.6,-1.6389846056208865,0.0
0.05,1.625,-1.6139846056208866,0.0
0.05,1.6500000000000001,-1.5889846056208865,0.0
0.05,1.675,-1.5639846056208866,0.0
0.05,1.7000000000000002,-1.5389846056208865,0.0
0.05,1.725,-1.5139846056208865,0.0
0.05,1.75,-1.4889846056208866,0.0
0.05,1.7750000000000001,-1.4639846056208865,0.0
